旅客列车梯形密度表（ 日均 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  始发日期： 20150108—20150108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K11 ZD074—ZD190-02 开行 1 天 日均定员： 1171 客座率： 81.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD074,ZD219,ZD054,ZD036,ZD313,ZD064,ZD222,ZD023,ZD139,ZD244,ZD215,ZD280,ZD032,ZD066,ZD125,ZD092,ZD205,ZD235,ZD240,ZD134,ZD020,ZD017,ZD304,ZD293,ZD111-02,ZD326,ZD250,下车人数合计,,,,,,,,
ZD287,10:59,14,2,14,84, ,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,
ZD308,11:19,4,1,2,18,6, ,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,12:16,33,,9,78,11,63, ,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,13:01,34,,5,34,8,18,142, ,,,241,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,13:38,53,3,6,21,10,18,99,31, ,,241,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,14:37,1,,1,7,,5,87,25,16, ,142,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,14:58,21,,5,43,10,28,94,40,51,2,294,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,206,20,191,285,45,132,422,96,67,2,1466,,,,,,,,,,,,,,,,,,,,,,,,,
K16 ZD266—ZD190-01 开行 1 天 日均定员： 1303 客座率： 41.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD266,ZD251,ZD096,ZD249,ZD151,ZD200,ZD167,ZD160,ZD065,ZD320,ZD141,ZD168,ZD178,ZD207,ZD035,ZD286,ZD309,ZD238,ZD292,ZD233,ZD111-01,ZD326,ZD192,ZD250,ZD190-02,下车人数合计,,,,,,,,,,
下车站,开/到点,12:09,12:57,13:52,14:09,15:10,15:59,16:52,17:49,18:32,19:58,21:28,21:52,22:08,22:44,23:31,01:20,02:17,02:41,03:40,05:24,06:30,07:39,08:22,08:57,10:55,,,,,,,,,,,
ZD266,, ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
ZD251,12:47,183, ,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,
ZD096,13:50,22,5, ,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,
ZD249,14:06,196,50,, ,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,,
ZD151,15:06,36,1,2,3, ,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,
ZD200,15:54,24,1,,4,1, ,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
ZD167,16:50,11,1,,,7,7, ,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
ZD160,17:46,35,1,,2,17,22,20, ,,,,,,,,,,,,,,,,,,97,,,,,,,,,,
ZD065,18:30,9,1,,,1,5,4,13, ,,,,,,,,,,,,,,,,,33,,,,,,,,,,
ZD320,19:48,39,9,3,4,34,17,26,65,43, ,,,,,,,,,,,,,,,,240,,,,,,,,,,
ZD141,21:26,3,1,1,1,,1,,2,,42, ,,,,,,,,,,,,,,,51,,,,,,,,,,
ZD168,21:50,7,1,,,1,4,3,2,,25,, ,,,,,,,,,,,,,,43,,,,,,,,,,
ZD178,22:06,1,,,,,,,2,,14,,, ,,,,,,,,,,,,,17,,,,,,,,,,
ZD207,22:36,4,3,,,,,1,,1,7,,2,, ,,,,,,,,,,,,18,,,,,,,,,,
ZD035,23:27,4,,,,,2,,2,1,6,,,,7, ,,,,,,,,,,,22,,,,,,,,,,
ZD286,00:37,4,1,,,2,1,,8,2,6,,,,1,4, ,,,,,,,,,,29,,,,,,,,,,
ZD309,02:15,2,1,,,,1,,,,6,,,1,,,10, ,,,,,,,,,21,,,,,,,,,,
ZD238,02:39,17,,,,,1,,4,1,2,,,,,,15,, ,,,,,,,,40,,,,,,,,,,
ZD292,03:38,7,,,,,,,,,,,,,,,2,,2, ,,,,,,,11,,,,,,,,,,
ZD233,05:22,5,2,1,,2,10,1,6,3,5,,2,,1,,2,,,, ,,,,,,40,,,,,,,,,,
ZD111-01,06:21,27,2,,,1,9,4,17,2,42,1,6,,5,1,16,9,10,3,8, ,,,,,163,,,,,,,,,,
ZD326,07:36,28,6,,,,2,2,21,1,16,2,3,,4,2,10,4,1,1,3,11, ,,,,117,,,,,,,,,,
ZD192,08:05,27,3,,,,2,,7,,20,1,,,,2,1,,,,1,14,12, ,,,90,,,,,,,,,,
ZD250,08:54,26,2,,1,1,3,,15,1,12,2,2,,2,1,1,,,,1,1,4,17, ,,92,,,,,,,,,,
ZD190-02,10:51,6,,,,,,,,,4,,1,,,,,,,,,3,5,3,10, ,32,,,,,,,,,,
ZD190-01,11:20,96,2,1,,4,,1,6,4,7,,9,,,,4,,1,,1,6,5,6,13,2,168,,,,,,,,,,
上车人数合计,,819,93,8,15,71,87,62,170,59,214,6,25,1,20,10,61,13,14,4,14,35,26,26,23,2,1878,,,,,,,,,,
D02 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 70.8 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:10,07:53,08:30,08:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,07:10, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,07:52,79, ,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,08:29,86,35, ,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,08:57,23,6,65, ,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,09:48,175,86,105,72,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,363,127,170,72,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D03 ZD190-01—ZD111-01 开行 1 天 日均定员： 613 客座率： 44.9 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD190-02,ZD250,ZD192,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,05:46,06:03,07:01,07:24,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,05:46, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,06:02,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,06:59,14,5, ,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,07:22,2,1,2, ,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,07:43,10,5,19,4, ,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,08:33,74,25,165,41,166,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,103,36,186,45,166,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D04 ZD111-03—ZD190-01 开行 1 天 日均定员： 586 客座率： 86.7 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-03,ZD111-01,ZD326,ZD022,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:58,08:17,09:02,09:32,09:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,07:58, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,08:14,1, ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,09:00,10,128, ,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD022,09:30,2,23,28, ,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,09:43,8,81,40,16, ,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,11:00,18,272,94,11,116,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,39,504,162,27,116,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D05 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 22.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD062,ZD250,ZD326,ZD311,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,06:43,07:30,07:59,08:39,09:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,06:43, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,07:28,2, ,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,07:57,6,26, ,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,08:35,5,2,15, ,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD311,09:04,8,,5,15, ,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,09:27,41,22,51,51,33,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,62,50,71,66,33,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D06 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 76.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD311,ZD326,ZD192,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,09:57,10:22,10:46,11:06,11:24,11:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,09:57, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD311,10:21,74, ,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,10:44,93,20, ,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,11:05,65,11,12, ,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,11:22,118,18,18,13, ,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,11:51,53,3,12,5,129, ,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,12:48,124,38,14,39,29,88,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,527,90,56,57,158,88,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D07 ZD190-01—ZD111-01 开行 1 天 日均定员： 613 客座率： 22.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD062,ZD250,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,09:10,09:56,10:24,11:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,09:10, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,09:55,16, ,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,10:23,29,5, ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,11:00,21,,5, ,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,11:50,71,7,31,39,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,137,12,36,39,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D08 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 44.3 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:16,14:00,14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,13:16, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,13:58,55, ,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:36,131,14, ,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,15:51,133,40,19,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,319,54,19,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D09 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 53.9 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD250,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,10:09,11:21,12:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,10:09, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,11:17,74, ,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,11:57,63,28, ,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,12:50,167,82,65,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,304,110,65,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 42.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,ZD190-02,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:52,15:35,16:12,17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,14:52, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,15:34,67, ,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,16:11,48,13, ,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,17:09,62,35,33, ,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,17:32,78,23,15,5,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,255,71,48,5,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D11 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 33.0 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD250,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,12:21,13:31,14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,12:21, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,13:29,34, ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,14:23,36,10, ,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,15:13,107,54,47,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,177,64,47,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 24.4 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,15:31,16:15,16:53,17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,15:31, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,16:13,73, ,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,16:51,49,10, ,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,17:20,19,4,24, ,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,18:12,54,13,14,10,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,195,27,38,10,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 31.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD250,ZD192,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:37,14:51,14:01,15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,13:37, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:50,22,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,13:52,35,23, ,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,15:27,15,12,9, ,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,16:16,61,53,73,62,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,133,88,82,62,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D14 ZD111-01—ZD190-01 开行 1 天 日均定员： 586 客座率： 28.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,ZD062,ZD190-02,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,17:12,17:59,18:37,18:28,19:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,17:12, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,17:54,102, ,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,18:35,24,10, ,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,18:27,17,2,15, ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,19:34,42,6,12,6, ,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,19:57,38,15,8,10,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,223,33,35,16, ,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D15 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 81.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD190-02,ZD250,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,13:37,13:54,14:51,15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,13:37, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,13:53,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,14:50,30,64, ,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,15:27,54,83,26, ,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,16:16,133,113,125,90,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,226,260,151,90,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D16 ZD111-01—ZD190-01 开行 1 天 日均定员： 613 客座率： 21.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD311,ZD326,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,19:06,19:31,19:55,20:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,19:06, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD311,19:30,80, ,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,19:53,39,17, ,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,20:36,29,16,16, ,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,21:51,46,24,13,9,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,194,57,29,9,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D17 ZD190-01—ZD111-03 开行 1 天 日均定员： 586 客座率： 55.1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD190-02,ZD250,ZD192,ZD326,ZD111-01,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,18:45,19:03,20:01,20:24,20:47,21:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,18:45, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,19:01,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,19:59,60,21, ,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,20:22,11,9,11, ,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,20:43,67,17,7,2, ,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,21:42,168,28,11,12,18, ,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-03,22:01,11,3,,,4,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,325,78,29,14,22,3,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D18 ZD111-01—ZD190-01 开行 1 天 日均定员： 613 客座率： 16.7 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD111-01,ZD326,ZD250,ZD062,ZD190-02,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,19:51,20:35,21:13,21:42,22:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,19:51, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,20:33,35, ,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,21:11,23,1, ,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD062,21:40,16,3,15, ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,22:16,24,3,4,2, ,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,22:38,29,4,3,11,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,127,11,22,13,1,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D19 ZD190-01—ZD111-01 开行 1 天 日均定员： 586 客座率： 30.5 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD190-01,ZD190-02,ZD250,ZD326,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,19:56,20:14,21:12,21:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,19:56, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-02,20:12,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,21:10,38,7, ,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,21:53,18,3,3, ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,22:52,106,24,18,13,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,163,34,21,13,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G18 ZD209—ZD190-01 开行 1 天 日均定员： 1005 客座率： 53.2 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD209,ZD255,ZD318,ZD172,ZD287,ZD111-01,ZD326,ZD192,ZD250,下车人数合计,,,,,,,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,07:05,07:34,08:05,08:26,09:44,10:55,11:39,11:59,12:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD209,07:05, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD255,07:33,18, ,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD318,08:04,14,2,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD172,08:24,37,11,36,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD287,09:42,34,27,9,56, ,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD111-01,10:53,40,10,16,37,15, ,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD326,11:38,58,33,11,40,7,68, ,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD192,11:58,19,4,2,19,5,43,3, ,,95,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD250,12:20,35,40,12,30,11,110,17,16, ,271,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD190-01,13:34,33,19,9,34,11,145,60,10,52,373,,,,,,,,,,,,,,,,,,,,,,,,,,
上车人数合计,,288,146,95,216,49,366,80,26,52,1318,,,,,,,,,,,,,,,,,,,,,,,,,,
G19 ZD209—ZD190-01 开行 1 天 日均定员： 1005 客座率： 68.6 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上车站,,ZD209,ZD224,ZD255,ZD172,ZD285,ZD287,ZD308,ZD239,ZD194,ZD231,ZD111-01,ZD311,ZD326,ZD250,ZD062,下车人数合计,,,,,,,,,,,,,,,,,,,,
下车站,开/到点,14:05,14:30,14:42,15:28,16:31,16:52,17:12,17:19,17:38,17:59,18:25,18:52,19:16,19:54,20:22,,,,,,,,,,,,,,,,,,,,,
ZD209,14:05, ,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
ZD224,14:28,58, ,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,
ZD255,14:40,42,7, ,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,
ZD172,15:26,67,27,26, ,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
ZD285,16:29,41,6,3,25, ,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,
ZD287,16:50,48,32,6,91,8, ,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,
ZD308,17:10,18,10,8,12,9,12, ,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
ZD239,17:17,1,4,1,1,1,4,1, ,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
ZD194,17:36,53,6,11,14,,7,4,6, ,,,,,,,101,,,,,,,,,,,,,,,,,,,,
ZD231,17:57,6,1,3,,1,3,,1,, ,,,,,,15,,,,,,,,,,,,,,,,,,,,
ZD111-01,18:23,31,9,6,26,1,7,9,14,45,14, ,,,,,162,,,,,,,,,,,,,,,,,,,,
ZD311,18:49,14,4,2,9,,5,6,,4,10,86, ,,,,140,,,,,,,,,,,,,,,,,,,,
ZD326,19:14,100,26,28,46,6,1,2,,16,1,22,11, ,,,259,,,,,,,,,,,,,,,,,,,,
ZD250,19:52,60,14,22,24,8,3,6,3,16,2,43,7,5, ,,213,,,,,,,,,,,,,,,,,,,,
ZD062,20:21,11,1,,5,,1,,,9,2,8,7,2,9, ,55,,,,,,,,,,,,,,,,,,,,
ZD190-01,21:12,28,22,21,27,7,,2,2,41,7,13,2,10,8,2,192,,,,,,,,,,,,,,,,,,,,
上车人数合计,,578,169,137,280,41,43,30,26,131,36,172,27,17,17,2,1706,,,,,,,,,,,,,,,,,,,,
